Date,M4 Including Treasuries (DM4)
1/31/2010," 1,175 "
2/28/2010," 1,167 "
3/31/2010," 1,158 "
4/30/2010," 1,162 "
5/31/2010," 1,166 "
6/30/2010," 1,152 "
7/31/2010," 1,167 "
8/31/2010," 1,174 "
9/30/2010," 1,175 "
10/31/2010," 1,187 "
11/30/2010," 1,182 "
12/31/2010," 1,175 "
1/31/2011," 1,170 "
2/28/2011," 1,170 "
3/31/2011," 1,175 "
4/30/2011," 1,191 "
5/31/2011," 1,202 "
6/30/2011," 1,192 "
7/31/2011," 1,194 "
8/31/2011," 1,190 "
9/30/2011," 1,188 "
10/31/2011," 1,188 "
11/30/2011," 1,190 "
12/31/2011," 1,185 "
1/31/2012," 1,197 "
2/29/2012," 1,201 "
3/31/2012," 1,202 "
4/30/2012," 1,208 "
5/31/2012," 1,209 "
6/30/2012," 1,219 "
7/31/2012," 1,227 "
8/31/2012," 1,231 "
9/30/2012," 1,241 "
10/31/2012," 1,241 "
11/30/2012," 1,252 "
12/31/2012," 1,266 "
1/31/2013," 1,271 "
2/28/2013," 1,265 "
3/31/2013," 1,262 "
4/30/2013," 1,271 "
5/31/2013," 1,269 "
6/30/2013," 1,271 "
7/31/2013," 1,272 "
8/31/2013," 1,273 "
9/30/2013," 1,281 "
10/31/2013," 1,286 "
11/30/2013," 1,286 "
12/31/2013," 1,291 "
1/31/2014," 1,283 "
2/28/2014," 1,293 "
3/31/2014," 1,297 "
4/30/2014," 1,292 "
5/31/2014," 1,300 "
6/30/2014," 1,301 "
7/31/2014," 1,302 "
8/31/2014," 1,303 "
9/30/2014," 1,304 "
10/31/2014," 1,308 "
11/30/2014," 1,307 "
12/31/2014," 1,318 "
1/31/2015," 1,321 "
2/28/2015," 1,330 "
3/31/2015," 1,332 "
4/30/2015," 1,331 "
5/31/2015," 1,334 "
6/30/2015," 1,337 "
7/31/2015," 1,350 "
8/31/2015," 1,357 "
9/30/2015," 1,351 "
10/31/2015," 1,350 "
11/30/2015," 1,363 "
12/31/2015," 1,367 "
1/31/2016," 1,374 "
2/29/2016," 1,385 "
3/31/2016," 1,392 "
4/30/2016," 1,396 "
5/31/2016," 1,402 "
6/30/2016," 1,414 "
7/31/2016," 1,414 "
8/31/2016," 1,422 "
9/30/2016," 1,423 "
10/31/2016," 1,426 "
11/30/2016," 1,433 "
12/31/2016," 1,437 "
1/31/2017," 1,441 "
2/28/2017," 1,443 "
3/31/2017," 1,447 "
4/30/2017," 1,458 "
5/31/2017," 1,464 "
6/30/2017," 1,468 "
7/31/2017," 1,473 "
8/31/2017," 1,482 "
9/30/2017," 1,492 "
10/31/2017," 1,498 "
11/30/2017," 1,505 "
12/31/2017," 1,509 "
1/31/2018," 1,512 "
2/28/2018," 1,515 "
3/31/2018," 1,521 "
4/30/2018," 1,525 "
5/31/2018," 1,531 "
6/30/2018," 1,538 "
7/31/2018," 1,543 "
8/31/2018," 1,549 "
9/30/2018," 1,553 "
10/31/2018," 1,557 "
11/30/2018," 1,558 "
12/31/2018," 1,571 "
1/31/2019," 1,577 "
2/28/2019," 1,583 "
3/31/2019," 1,589 "
4/30/2019," 1,594 "
5/31/2019," 1,602 "
6/30/2019," 1,612 "
7/31/2019," 1,620 "
8/31/2019," 1,632 "
9/30/2019," 1,643 "
10/31/2019," 1,658 "
11/30/2019," 1,670 "
12/31/2019," 1,676 "
